doc_id,title,calories,protein,fat,sodium,carbohydrates,fibre,rating,text_chunk
doc_00000,Ada,280.0,5.0,2.0,369.5,61.0,2.9,4.00,"Recipe: Ada.
Nutrition per serving: 280.0 kcal | 5.0 g protein | 2.0 g fat | 369.5 mg sodium | 61.0 g carbs | 2.9 g fibre.
Nutrition profile: moderate-calorie (200–400 kcal), low-protein (< 10 g), low-fat (< 5 g), moderate-sodium (150–599 mg), high-carb (> 50 g), low-fibre (< 3 g).
User rating: 4.00/5 — very good.
Diet suitability: vegetarian.
Cuisine / style: sri lankan.
Meal type: dessert.
Main protein source: not specified.
Cooking method: standard.
Additional attributes: sri lankan, traditional."
doc_00001,Almonds,180.0,6.0,15.0,298.8,6.0,2.4,4.00,"Recipe: Almonds.
Nutrition per serving: 180.0 kcal | 6.0 g protein | 15.0 g fat | 298.8 mg sodium | 6.0 g carbs | 2.4 g fibre.
Nutrition profile: low-calorie (< 200 kcal), low-protein (< 10 g), high-fat (≥ 15 g), moderate-sodium (150–599 mg), low-carb (< 20 g), low-fibre (< 3 g).
User rating: 4.00/5 — very good.
Diet suitability: vegetarian.
Cuisine / style: sri lankan.
Meal type: side.
Main protein source: not specified.
Cooking method: standard.
Additional attributes: sri lankan, traditional."
doc_00002,Aluwa,400.0,3.0,8.0,31.8,85.0,1.4,4.00,"Recipe: Aluwa.
Nutrition per serving: 400.0 kcal | 3.0 g protein | 8.0 g fat | 31.8 mg sodium | 85.0 g carbs | 1.4 g fibre.
Nutrition profile: high-calorie (400–700 kcal), low-protein (< 10 g), moderate-fat (5–14 g), low-sodium (< 150 mg), high-carb (> 50 g), low-fibre (< 3 g).
User rating: 4.00/5 — very good.
Diet suitability: vegetarian.
Cuisine / style: sri lankan.
Meal type: dessert.
Main protein source: not specified.
Cooking method: standard.
Additional attributes: sri lankan, traditional."
doc_00003,Ambul Kesel,45.0,0.5,0.1,369.0,11.0,1.5,4.00,"Recipe: Ambul Kesel.
Nutrition per serving: 45.0 kcal | 0.5 g protein | 0.1 g fat | 369.0 mg sodium | 11.0 g carbs | 1.5 g fibre.
Nutrition profile: low-calorie (< 200 kcal), low-protein (< 10 g), low-fat (< 5 g), moderate-sodium (150–599 mg), low-carb (< 20 g), low-fibre (< 3 g).
User rating: 4.00/5 — very good.
Diet suitability: vegetarian.
Cuisine / style: sri lankan.
Meal type: side.
Main protein source: not specified.
Cooking method: standard.
Additional attributes: sri lankan, traditional."
doc_00004,Ambulthiyal Sour Fish Curry,160.0,22.0,6.0,353.7,4.0,0.2,4.50,"Recipe: Ambulthiyal Sour Fish Curry.
Nutrition per serving: 160.0 kcal | 22.0 g protein | 6.0 g fat | 353.7 mg sodium | 4.0 g carbs | 0.2 g fibre.
Nutrition profile: low-calorie (< 200 kcal), moderate-protein (10–24 g), moderate-fat (5–14 g), moderate-sodium (150–599 mg), low-carb (< 20 g), low-fibre (< 3 g).
User rating: 4.50/5 — outstanding.
Diet suitability: none specified.
Cuisine / style: sri lankan.
Meal type: main.
Main protein source: fish.
Cooking method: dry curry.
Additional attributes: ambulthiyal, sour, goraka, traditional."
doc_00005,Ambun Kesel,90.0,1.3,0.3,177.9,23.0,1.9,4.00,"Recipe: Ambun Kesel.
Nutrition per serving: 90.0 kcal | 1.3 g protein | 0.3 g fat | 177.9 mg sodium | 23.0 g carbs | 1.9 g fibre.
Nutrition profile: low-calorie (< 200 kcal), low-protein (< 10 g), low-fat (< 5 g), moderate-sodium (150–599 mg), moderate-carb (20–50 g), low-fibre (< 3 g).
User rating: 4.00/5 — very good.
Diet suitability: vegetarian.
Cuisine / style: sri lankan.
Meal type: snack.
Main protein source: not specified.
Cooking method: standard.
Additional attributes: sri lankan, traditional."
doc_00006,Apple,80.0,0.0,0.0,189.4,22.0,4.9,4.00,"Recipe: Apple.
Nutrition per serving: 80.0 kcal | 0.0 g protein | 0.0 g fat | 189.4 mg sodium | 22.0 g carbs | 4.9 g fibre.
Nutrition profile: low-calorie (< 200 kcal), low-protein (< 10 g), low-fat (< 5 g), moderate-sodium (150–599 mg), moderate-carb (20–50 g), moderate-fibre (3–7 g).
User rating: 4.00/5 — very good.
Diet suitability: vegetarian.
Cuisine / style: sri lankan.
Meal type: side.
Main protein source: not specified.
Cooking method: standard.
Additional attributes: sri lankan, traditional."
doc_00007,Avocado,80.0,1.0,7.4,302.2,4.3,2.5,4.00,"Recipe: Avocado.
Nutrition per serving: 80.0 kcal | 1.0 g protein | 7.4 g fat | 302.2 mg sodium | 4.3 g carbs | 2.5 g fibre.
Nutrition profile: low-calorie (< 200 kcal), low-protein (< 10 g), moderate-fat (5–14 g), moderate-sodium (150–599 mg), low-carb (< 20 g), low-fibre (< 3 g).
User rating: 4.00/5 — very good.
Diet suitability: vegetarian.
Cuisine / style: sri lankan.
Meal type: side.
Main protein source: not specified.
Cooking method: standard.
Additional attributes: sri lankan, traditional."
doc_00008,Banana,90.0,1.0,0.0,20.9,23.0,4.9,4.00,"Recipe: Banana.
Nutrition per serving: 90.0 kcal | 1.0 g protein | 0.0 g fat | 20.9 mg sodium | 23.0 g carbs | 4.9 g fibre.
Nutrition profile: low-calorie (< 200 kcal), low-protein (< 10 g), low-fat (< 5 g), low-sodium (< 150 mg), moderate-carb (20–50 g), moderate-fibre (3–7 g).
User rating: 4.00/5 — very good.
Diet suitability: vegetarian.
Cuisine / style: sri lankan.
Meal type: side.
Main protein source: not specified.
Cooking method: standard.
Additional attributes: sri lankan, traditional."
doc_00009,Batter Carol biscuit,26.0,0.4,0.8,212.5,4.2,1.4,4.00,"Recipe: Batter Carol biscuit.
Nutrition per serving: 26.0 kcal | 0.4 g protein | 0.8 g fat | 212.5 mg sodium | 4.2 g carbs | 1.4 g fibre.
Nutrition profile: low-calorie (< 200 kcal), low-protein (< 10 g), low-fat (< 5 g), moderate-sodium (150–599 mg), low-carb (< 20 g), low-fibre (< 3 g).
User rating: 4.00/5 — very good.
Diet suitability: vegetarian.
Cuisine / style: sri lankan.
Meal type: dessert.
Main protein source: not specified.
Cooking method: standard.
Additional attributes: sri lankan, traditional."
